State,Low Access Numbers.People.10 Miles,Vehicle Access.10 Miles,Sales.Retail Sales,Income.Median Houseold Income,Region
il,6157,99.0,287375.0,52700,Midwest
il,2960,80.0,1008326.0,37241,Midwest
il,967,5.0,73336.0,54256,Midwest
il,3537,54.0,709525.0,49896,Midwest
il,997,21.0,230634.0,63028,Midwest
il,2031,40.0,293688.0,57946,Midwest
il,948,16.0,88589.0,52774,Midwest
il,0,0.0,5681086.0,79394,Midwest
il,3170,70.0,1463289.0,58902,Midwest
il,67,7.0,1151458.0,96563,Midwest
il,2566,24.0,791255.0,44129,Midwest
il,4933,61.0,1689490.0,58142,Midwest
il,0,7.0,14900534.0,89427,Midwest
il,618,2.0,117253.0,46636,Midwest
il,655,12.0,379892.0,58194,Midwest
il,3322,51.0,479427.0,55160,Midwest
il,5676,49.0,292327.0,57308,Midwest
il,2226,29.0,1494152.0,50480,Midwest
il,2419,40.0,392007.0,55159,Midwest
il,9,0.0,3230218.0,60738,Midwest
il,3984,41.0,353692.0,47519,Midwest
il,1665,17.0,85681.0,58465,Midwest
il,3819,62.0,130469.0,48417,Midwest
il,524,14.0,84949.0,47481,Midwest
il,1700,27.0,340837.0,44471,Midwest
il,0,0.0,3664358.0,86799,Midwest
il,2297,31.0,2441555.0,67675,Midwest
il,90,2.0,76770.0,74684,Midwest
il,1325,55.0,72612.0,59787,Midwest
il,139,0.0,481696.0,85747,Midwest
il,729,5.0,432502.0,52748,Midwest
il,5327,7.0,454455.0,51437,Midwest
il,176,7.0,109372.0,61456,Midwest
il,119,2.0,408112.0,60986,Midwest
il,2810,10.0,2576723.0,55842,Midwest
il,362,7.0,189456.0,52428,Midwest
il,366,2.0,143352.0,70849,Midwest
il,3264,68.0,174250.0,47492,Midwest
il,1301,19.0,11495.0,38056,Midwest
il,1936,102.0,34964.0,34640,Midwest
il,8,0.0,29209.0,63638,Midwest
il,70,0.0,373355.0,53816,Midwest
il,444,5.0,176422.0,48894,Midwest
il,1190,2.0,1859102.0,54858,Midwest
il,716,23.0,353592.0,44090,Midwest
il,4453,65.0,3128622.0,61912,Midwest
il,969,3.0,38967.0,52357,Midwest
il,3562,79.0,39059.0,57118,Midwest
il,4734,7.0,155023.0,52953,Midwest
il,0,0.0,3234241.0,55179,Midwest
il,3752,40.0,68105.0,54907,Midwest
il,230,2.0,521557.0,48805,Midwest
il,3042,20.0,1942339.0,63454,Midwest
il,471,13.0,167103.0,50625,Midwest
il,2993,38.0,850294.0,46515,Midwest
il,387,0.0,81119.0,50770,Midwest
il,212,8.0,143243.0,50310,Midwest
il,1634,43.0,200849.0,61763,Midwest
il,3320,75.0,157578.0,50251,Midwest
il,814,6.0,142853.0,49290,Midwest
il,156,2.0,577968.0,54232,Midwest
